VJcombo	TCR22A.BC1_Reads	TCR22A.BC1_Freq
TRAV13-1.TRAJ3	17	2.89546025896e-06
TRAV13-1.TRAJ4	3019	0.000514199677752
TRAV10.TRAJ56	2	3.40642383407e-07
TRAV13-1.TRAJ6	55942	0.00952810810627
TRAV10.TRAJ54	2	3.40642383407e-07
TRAV13-1.TRAJ8	3	5.1096357511e-07
TRAV13-1.TRAJ9	1675	0.000285287996103
TRAV8-1.TRAJ17	4	6.81284766813e-07
TRAV10.TRAJ58	1	1.70321191703e-07
TRAV8-1.TRAJ11	20	3.40642383407e-06
TRAV8-1.TRAJ10	4	6.81284766813e-07
TRAV8-1.TRAJ13	13547	0.002307341184
TRAV8-1.TRAJ12	1	1.70321191703e-07
TRAV24.TRAJ29	285	4.85415396354e-05
TRAV12-2.TRAJ20	916	0.0001560142116
TRAV34.TRAJ44	1	1.70321191703e-07
TRAV12-2.TRAJ22	7089	0.00120740692798
TRAV34.TRAJ42	3	5.1096357511e-07
TRAV34.TRAJ43	105581	0.0179826817412
TRAV34.TRAJ40	5	8.51605958517e-07
TRAV12-1.TRAJ47	9	1.53289072533e-06
TRAV24.TRAJ20	1319	0.000224653651857
TRAV24.TRAJ22	1914	0.00032599476092
TRAV8-4.TRAJ13	1	1.70321191703e-07
TRAV34.TRAJ48	37	6.30188409302e-06
TRAV8-4.TRAJ11	2135	0.000363635744287
TRAV12-3.TRAJ44	1	1.70321191703e-07
TRAV12-3.TRAJ45	135	2.29933608799e-05
TRAV25.TRAJ18	1	1.70321191703e-07
TRAV12-3.TRAJ41	13	2.21417549214e-06
TRAV12-3.TRAJ42	6	1.02192715022e-06
TRAV30.TRAJ43	1287	0.000219203373722
TRAV12-3.TRAJ48	13	2.21417549214e-06
TRAV12-3.TRAJ49	1637	0.000278815790818
TRAV30.TRAJ32	1	1.70321191703e-07
TRAV30.TRAJ31	1	1.70321191703e-07
TRAV30.TRAJ37	41	6.98316885984e-06
TRAV30.TRAJ34	8	1.36256953363e-06
TRAV30.TRAJ39	1	1.70321191703e-07
TRAV26-2.TRAJ49	3389	0.000577218518683
TRAV2.TRAJ40	1	1.70321191703e-07
TRAV21.TRAJ58	1	1.70321191703e-07
TRAV21.TRAJ53	1	1.70321191703e-07
TRAV21.TRAJ52	225	3.83222681332e-05
TRAV26-1.TRAJ15	28573	0.00486658741054
TRAV21.TRAJ57	187	3.18500628485e-05
TRAV41.TRAJ26	11	1.87353310874e-06
TRAV26-1.TRAJ10	16	2.72513906725e-06
TRAV26-1.TRAJ11	260	4.42835098429e-05
TRAV14DV4.TRAJ47	6141	0.00104594243825
TRAV8-5.TRAJ24	15	2.55481787555e-06
TRAV41.TRAJ27	2	3.40642383407e-07
TRAV14DV4.TRAJ43	1	1.70321191703e-07
TRAV14DV4.TRAJ40	1	1.70321191703e-07
TRAV2.TRAJ44	5	8.51605958517e-07
TRAV41.TRAJ48	1	1.70321191703e-07
TRAV35.TRAJ11	1	1.70321191703e-07
TRAV41.TRAJ9	7	1.19224834192e-06
TRAV14DV4.TRAJ49	1	1.70321191703e-07
TRAV41.TRAJ21	1	1.70321191703e-07
TRAV13-1.TRAJ41	7627	0.00129903972912
TRAV12-1.TRAJ8	6592	0.00112275729571
TRAV13-1.TRAJ43	4724	0.000804597309606
TRAV8-5.TRAJ27	1405	0.000239301274343
TRAV13-1.TRAJ45	30209	0.00514523288017
TRAV13-1.TRAJ44	8636	0.00147089381155
TRAV13-1.TRAJ47	23820	0.00405705078637
TRAV29DV5.TRAJ29	1	1.70321191703e-07
TRAV29DV5.TRAJ26	700	0.000119224834192
TRAV13-1.TRAJ48	854	0.000145454297715
TRAV8-6.TRAJ8	1	1.70321191703e-07
TRAV2.TRAJ47	16	2.72513906725e-06
TRAV29DV5.TRAJ22	171	2.91249237813e-05
TRAV12-1.TRAJ4	1304	0.000222098833981
TRAV29DV5.TRAJ20	2	3.40642383407e-07
TRAV29DV5.TRAJ21	255	4.34319038843e-05
TRAV26-1.TRAJ4	4	6.81284766813e-07
TRAV26-1.TRAJ5	8	1.36256953363e-06
TRAV1-2.TRAJ6	3422	0.000582839118009
TRAV1-2.TRAJ5	85	1.44773012948e-05
TRAV26-1.TRAJ3	21878	0.00372628703209
TRAV25.TRAJ56	4	6.81284766813e-07
TRAV1-2.TRAJ9	2	3.40642383407e-07
TRAV1-2.TRAJ8	30	5.1096357511e-06
TRAV26-1.TRAJ8	60	1.02192715022e-05
